SensorCode,DateTimeUtc,Address,Mean,Max,Packets,Oui,Channel,Retry,PacketType
557,6-2-2020 20:02,XNuJ6jWpl+s=,-85,-85,1,/uv5,,,
557,6-2-2020 21:11,i7XOoJO/e+8=,-63,-65,2,aOzF,,,
557,7-2-2020 07:27,M4kAuxp6gBw=,-87,-87,1,tHRD,,,
557,7-2-2020 11:07,ajpJgHBlR+Y=,-65,-65,1,rr+K,,,
557,7-2-2020 14:28,ZXS4Aw9QkS0=,-83,-83,1,yK6c,,,
557,7-2-2020 15:00,peghDdghYvo=,-618,-57,13,hCUZ,,,
557,8-2-2020 14:26,r+9YUXF++vk=,-79,-79,1,UiTf,,,
557,8-2-2020 15:16,EibiExQXGYI=,-53,-53,2,UpTV,,,
557,8-2-2020 17:19,CGomEJmri3k=,-85,-85,1,#NAME?,,,
557,8-2-2020 20:36,CGomEJmri3k=,-89,-89,1,#NAME?,,,
557,9-2-2020 13:30,i7XOoJO/e+8=,-67,-67,1,aOzF,,,
557,9-2-2020 15:38,aQuolMvxuRk=,-77,-75,11,wEoA,,,
557,10-2-2020 07:41,peghDdghYvo=,-601,-57,16,hCUZ,,,
557,10-2-2020 08:45,O4y60y+u6vE=,-81,-81,1,Vi3j,,,
557,10-2-2020 13:39,45riuwUieGQ=,-69,-69,1,5lK2,,,
557,11-2-2020 08:09,i7XOoJO/e+8=,-61,-61,1,aOzF,,,
557,11-2-2020 08:33,peghDdghYvo=,-651,-61,15,hCUZ,,,
557,11-2-2020 09:03,ZtMflQQ7eWo=,-75,-75,1,WqkX,,,
557,11-2-2020 10:05,aQuolMvxuRk=,-748,-65,13,wEoA,,,
557,11-2-2020 11:53,Is5nbmaFQYI=,-74,-73,2,SKkc,,,
557,11-2-2020 11:56,dzmzsC1VhNo=,-66,-67,2,CuRy,,,
557,11-2-2020 17:50,V2AljPuOqu4=,-83,-83,1,UIVp,,,
557,11-2-2020 22:39,A2k6jYOFD6k=,-80,-79,2,VCqi,,,
557,12-2-2020 12:17,rvbmAGW3Ins=,-78,-77,2,pNkx,,,
557,12-2-2020 14:16,V5VGV5/X6l8=,-65,-65,1,XF9n,,,
557,12-2-2020 16:52,JDabAPLvzZ4=,-87,-87,1,bkrD,,,
557,12-2-2020 21:12,aQuolMvxuRk=,-767,-73,13,wEoA,,,
557,12-2-2020 23:07,i7XOoJO/e+8=,-67,-67,1,aOzF,,,
557,13-2-2020 10:37,WE1Tr5dwA4E=,-89,-89,1,1vif,,,
557,13-2-2020 13:08,aQuolMvxuRk=,-795,-75,17,wEoA,,,
557,13-2-2020 14:38,PkgB2wfrWnY=,-87,-87,1,2qEZ,,,
557,13-2-2020 19:23,N3RERhVG/h8=,-71,-69,2,ztqQ,,,
557,14-2-2020 07:10,LSFjUyfN4yw=,-84,-83,2,9orq,,,
557,14-2-2020 09:51,z1iMEnxdKfI=,-89,-89,2,fN2Q,,,
557,14-2-2020 10:07,z1iMEnxdKfI=,-89,-89,1,fN2Q,,,
557,14-2-2020 16:55,V2AljPuOqu4=,-87,-87,1,UIVp,,,
557,14-2-2020 17:29,3AEINx19rv0=,-72,-71,22,DI//,,,
557,14-2-2020 23:09,peghDdghYvo=,-659,-59,15,hCUZ,,,
557,15-2-2020 05:26,peghDdghYvo=,-605,-57,15,hCUZ,,,
557,15-2-2020 12:11,jMYZ0LM6GMM=,-71,-71,1,IoFr,,,
557,15-2-2020 12:17,PpYwwXzg9cI=,-63,-63,1,gnhb,,,
557,15-2-2020 12:59,peghDdghYvo=,-641,-61,15,hCUZ,,,
557,15-2-2020 13:12,NZ+yjVSKfCY=,-74,-75,2,Zqik,,,
557,15-2-2020 14:28,sJZxeK2RWfw=,-69,-71,2,Cs2V,,,
